Gender,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Reps,17-21,17-21,22-26,22-26,27-31,27-31,32-36,32-36,37-41,37-41,42-46,42-46,47-51,47-51,52-56,52-56,57-61,57-61,62+,62+
1,3,29,15,38,20,41,24,41,26,42,0,0,0,0,0,0,0,0,0,0
2,5,30,17,39,21,42,25,43,27,44,0,0,0,0,0,0,0,0,0,0
3,6,32,18,41,22,43,26,44,28,45,0,0,0,0,0,0,0,0,0,0
4,8,34,19,42,23,44,27,45,29,47,0,0,0,0,0,0,0,0,0,0
5,9,36,20,43,24,45,28,47,30,48,32,49,36,52,43,53,45,54,47,56
6,10,37,21,45,25,47,29,48,31,50,33,50,38,53,44,55,46,56,48,58
7,12,39,22,46,26,48,30,49,32,51,34,52,39,55,46,56,47,58,49,60
8,13,41,23,48,27,49,31,49,33,53,36,54,40,57,47,58,49,60,51,62
9,14,43,25,49,28,49,32,50,34,54,37,55,41,58,48,60,50,62,52,64
10,16,44,26,49,29,50,33,52,35,56,38,57,42,60,49,62,51,64,53,67
11,17,46,27,50,31,52,34,54,36,57,39,58,44,62,50,64,52,66,54,69
12,19,48,28,52,32,54,35,56,37,59,40,60,45,63,51,65,53,68,55,71
13,20,50,29,54,33,55,36,58,38,60,41,62,46,65,52,67,54,70,56,73
14,21,51,30,56,34,56,37,59,39,61,42,63,47,67,53,69,55,72,58,76
15,23,53,31,57,35,58,38,60,41,63,43,65,48,68,54,71,57,74,59,78
16,24,55,33,59,36,59,39,61,42,64,44,66,49,70,56,73,58,76,60,80
17,26,57,34,60,37,60,41,63,43,66,46,68,51,72,57,75,59,78,61,82
18,27,58,35,61,38,61,42,64,44,67,47,70,52,73,58,76,60,80,62,84
19,28,60,36,63,39,62,43,65,45,69,48,71,53,75,59,78,61,82,64,87
20,30,62,37,64,40,64,44,67,46,70,49,73,54,77,60,80,62,84,65,89
21,31,63,38,66,41,65,45,68,47,72,50,74,55,78,61,82,63,86,66,91
22,32,65,39,67,42,66,46,69,48,73,51,76,56,80,62,84,65,88,67,93
23,34,67,41,68,43,67,47,71,49,75,52,78,58,82,63,85,66,90,68,96
24,35,69,42,70,44,68,48,72,50,76,53,79,59,83,64,87,67,92,69,98
25,37,70,43,71,45,70,49,73,51,78,54,81,60,85,66,89,68,94,71,100
26,38,72,44,72,46,71,50,75,52,79,56,82,61,87,67,91,69,96,72,100
27,39,74,45,74,47,72,51,76,53,81,57,84,62,88,68,93,70,98,73,100
28,41,76,46,75,48,73,52,77,54,82,58,86,64,90,69,95,71,100,74,100
29,42,77,47,77,49,75,53,79,55,84,59,87,65,92,70,96,73,100,75,100
30,43,79,49,78,50,76,54,80,56,85,60,89,66,93,71,98,74,100,76,100
31,45,81,50,79,52,77,55,81,57,87,61,90,67,95,72,100,75,100,78,100
32,46,83,51,81,53,78,56,83,58,88,62,92,68,97,73,100,76,100,79,100
33,48,84,52,82,54,79,57,84,59,90,63,94,69,98,74,100,77,100,80,100
34,49,86,53,83,55,81,58,85,60,91,64,95,71,100,76,100,78,100,81,100
35,50,88,54,85,56,82,59,87,61,93,66,97,72,100,77,100,79,100,82,100
36,52,90,55,86,57,83,60,88,62,94,67,98,73,100,78,100,81,100,84,100
37,53,91,57,88,58,84,61,89,63,96,68,100,74,100,79,100,82,100,85,100
38,54,93,58,89,59,85,62,91,64,97,69,100,75,100,80,100,83,100,86,100
39,56,95,59,90,60,87,63,92,65,99,70,100,76,100,81,100,84,100,87,100
