Gender,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Time,17-21,17-21,22-26,22-26,27-31,27-31,32-36,32-36,37-41,37-41,42-46,42-46,47-51,47-51,52-56,52-56,57-61,57-61,62+,62+
0:00:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12:54:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13:00:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13:06:00,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13:12:00,97,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13:18:00,96,100,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13:24:00,94,100,96,100,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100
13:30:00,93,100,94,100,98,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100
13:36:00,92,100,93,100,97,100,97,100,100,100,100,100,100,100,100,100,100,100,100,100
13:42:00,90,100,92,100,96,100,96,100,99,100,100,100,100,100,100,100,100,100,100,100
13:48:00,89,100,91,100,95,100,95,100,98,100,100,100,100,100,100,100,100,100,100,100
13:54:00,88,100,90,100,94,100,95,100,97,100,100,100,100,100,100,100,100,100,100,100
14:00:00,86,100,89,100,92,100,94,100,97,100,100,100,100,100,100,100,100,100,100,100
14:06:00,85,100,88,100,91,100,93,100,96,100,100,100,100,100,100,100,100,100,100,100
14:12:00,83,100,87,100,90,100,92,100,95,100,99,100,100,100,100,100,100,100,100,100
14:18:00,82,100,86,100,89,100,91,100,94,100,98,100,100,100,100,100,100,100,100,100
14:24:00,81,100,84,100,88,100,90,100,93,100,97,100,100,100,100,100,100,100,100,100
14:30:00,79,100,83,100,87,100,89,100,92,100,97,100,99,100,100,100,100,100,100,100
14:36:00,78,100,82,100,86,100,88,100,91,100,96,100,98,100,100,100,100,100,100,100
14:42:00,77,100,81,100,85,100,87,100,91,100,95,100,98,100,100,100,100,100,100,100
14:48:00,75,100,80,100,84,100,86,100,90,100,94,100,97,100,99,100,100,100,100,100
14:54:00,74,100,79,100,83,100,85,100,89,100,93,100,96,100,98,100,100,100,100,100
15:00:00,72,100,78,100,82,100,85,100,88,100,92,100,95,100,98,100,100,100,100,100
15:06:00,71,100,77,100,81,100,84,100,87,100,91,100,95,100,97,100,100,100,100,100
15:12:00,70,100,76,100,79,100,83,100,86,100,90,100,94,100,96,100,100,100,100,100
15:18:00,68,100,74,100,78,100,82,100,86,100,90,100,93,100,95,100,100,100,100,100
15:24:00,67,100,73,100,77,100,81,100,85,100,89,100,92,100,95,100,99,100,100,100
15:30:00,66,100,72,100,76,100,80,100,84,100,88,100,91,100,94,100,98,100,100,100
15:36:00,64,100,71,100,75,100,79,100,83,100,87,100,91,100,93,100,97,100,100,100
15:42:00,63,99,70,99,74,100,78,100,82,100,86,100,90,100,92,100,97,100,100,100
15:48:00,61,98,69,98,73,100,77,100,81,100,85,100,89,100,91,100,96,100,99,100
15:54:00,60,96,68,97,72,99,76,100,80,100,84,100,88,100,91,100,95,100,98,100
16:00:00,59,95,67,96,71,98,75,99,80,100,83,100,87,100,90,100,94,100,97,100
16:06:00,57,94,66,95,70,97,75,99,79,100,83,100,87,100,89,100,93,100,96,100
16:12:00,56,93,64,94,69,97,74,98,78,100,82,100,86,100,88,100,92,100,95,100
16:18:00,54,92,63,93,68,96,73,97,77,100,81,100,85,100,87,100,91,100,94,100
16:24:00,53,90,62,92,66,95,72,97,76,100,80,100,84,100,87,100,90,100,93,100
16:30:00,52,89,61,91,65,94,71,96,75,100,79,100,84,100,86,100,90,100,93,100
16:36:00,50,88,60,90,64,93,70,95,74,100,78,100,83,100,85,100,89,100,92,100
16:42:00,49,87,59,89,63,92,69,94,74,100,77,100,82,100,84,100,88,100,91,100
16:48:00,48,85,58,88,62,91,68,94,73,100,77,100,81,100,84,100,87,100,90,100
16:54:00,46,84,57,87,61,91,67,93,72,100,76,100,80,100,83,100,86,100,89,100
17:00:00,45,83,56,86,60,90,66,92,71,100,75,100,80,100,82,100,85,100,88,100
17:06:00,43,82,54,85,59,89,65,92,70,99,74,100,79,100,81,100,84,100,87,100
17:12:00,42,81,53,84,58,88,65,91,69,99,73,100,78,100,80,100,83,100,86,100
17:18:00,41,79,52,83,57,87,64,90,69,98,72,100,77,100,80,100,83,100,85,100
17:24:00,39,78,51,82,56,86,63,90,68,97,71,100,76,100,79,100,82,100,84,100
17:30:00,38,77,50,81,55,86,62,89,67,96,70,99,76,100,78,100,81,100,83,100
